,sex,age,race,decile_score,v_decile_score,priors_count,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,vr_charge_degree
53,Male,34,African-American,9,6,21,(F2),1,(M1),0,
54,Male,29,Caucasian,2,2,0,(M1),0,,0,
55,Female,21,African-American,8,8,2,(F2),0,,0,
56,Male,51,African-American,1,1,2,(M1),0,,0,
57,Male,36,African-American,1,1,0,,-1,,0,
58,Male,29,Caucasian,2,2,2,(M1),1,(M1),0,
59,Male,25,African-American,6,7,0,(F2),0,,0,
60,Female,51,African-American,2,2,7,(F3),0,,0,
61,Male,28,Caucasian,7,4,8,(F3),0,,0,
62,Male,36,African-American,9,10,22,(M1),0,,0,
63,Male,29,African-American,7,2,0,(F3),1,(M1),0,
64,Male,29,Other,1,2,0,(M1),0,,0,
65,Male,25,Caucasian,10,9,9,(M1),1,(F2),1,(F2)
66,Male,35,African-American,8,3,13,(F3),1,(MO3),1,(MO3)
67,Male,49,Caucasian,1,1,0,(M1),0,,0,
68,Male,34,African-American,3,2,4,(M2),1,(M2),0,
69,Male,29,African-American,4,3,0,(F3),0,,0,
70,Male,29,Caucasian,2,2,1,(F3),1,(M1),0,
71,Female,28,Other,2,2,0,(F3),0,,0,
72,Male,51,Caucasian,2,1,0,(F3),0,,0,
73,Male,25,Caucasian,3,3,0,(F3),0,,0,
74,Male,48,Caucasian,6,4,20,(F3),1,(M2),0,
75,Male,33,Caucasian,9,10,1,(F3),0,,0,
76,Female,63,Hispanic,1,1,1,(F1),0,,0,
77,Male,30,African-American,6,4,3,(F3),0,,0,
78,Male,31,African-American,5,7,15,(F2),1,(M2),0,
79,Male,24,African-American,4,4,2,(F3),1,(M1),0,
80,Male,27,African-American,5,3,0,(F3),0,,0,
81,Male,32,Caucasian,8,2,3,(F3),0,,0,
82,Male,30,Hispanic,7,3,0,(M1),0,,0,
83,Male,49,African-American,1,1,4,(M1),0,,0,
84,Male,53,Caucasian,5,2,8,(F3),0,,0,
85,Female,31,Hispanic,1,1,0,(M1),0,,0,
86,Male,35,African-American,3,2,5,(F3),0,,0,
87,Male,63,African-American,7,5,10,(M1),1,(M2),0,
88,Male,33,African-American,1,1,2,(F2),0,,0,
89,Male,27,African-American,10,9,15,(F3),1,(M1),0,
90,Male,38,Caucasian,2,2,4,(M1),1,(M2),0,
91,Male,46,Caucasian,6,3,9,(F3),0,,0,
92,Male,22,African-American,4,6,1,(F3),1,(M1),0,
93,Female,34,Caucasian,1,1,0,(M1),0,,0,
94,Male,22,African-American,10,9,2,(F3),1,(M2),0,
95,Male,29,African-American,9,5,4,(F3),1,(F3),0,
96,Male,62,Hispanic,1,1,0,(M2),0,,0,
97,Male,27,African-American,6,3,6,(F2),1,(F3),0,
98,Male,33,Other,1,1,0,(M1),0,,0,
99,Female,56,African-American,1,1,0,(M1),0,,0,
100,Male,45,Hispanic,1,1,6,(F3),1,(M2),1,(M1)
101,Male,22,Hispanic,4,6,1,(F3),0,,0,
102,Female,31,Caucasian,3,2,2,(F3),0,,0,
103,Male,34,African-American,4,4,0,(F3),0,,0,
104,Male,39,African-American,4,2,1,(M1),0,,0,
105,Male,24,African-American,6,4,4,(M1),0,,0,
106,Male,29,African-American,6,3,5,(F3),1,(M2),0,
107,Male,27,Caucasian,6,3,1,(F3),1,(F3),0,
108,Male,41,African-American,2,1,0,,-1,,0,
109,Female,24,Hispanic,4,2,1,(M2),0,,0,
110,Male,40,African-American,2,1,2,(F3),0,,0,
111,Male,51,African-American,1,1,1,(F3),0,,0,
112,Male,22,African-American,3,3,1,(M1),1,(M2),0,
113,Male,22,Caucasian,8,6,0,(F3),0,,0,
114,Female,26,African-American,4,3,1,(F2),1,(M1),1,(F3)
115,Male,27,Caucasian,7,8,1,(F7),1,(M1),1,(M1)
116,Female,59,African-American,1,1,2,(F3),0,,0,
117,Male,32,Caucasian,1,3,3,(M1),0,,0,
118,Male,32,African-American,2,1,0,(F3),0,,0,
119,Male,41,African-American,2,2,1,(M2),0,,0,
120,Male,50,Caucasian,1,1,0,(M1),0,,0,
121,Male,30,African-American,10,9,8,(M1),1,(M1),1,(F3)
122,Male,66,African-American,9,3,0,(MO3),0,,0,
123,Male,52,African-American,5,1,3,(F3),0,,0,
124,Male,36,African-American,6,5,0,,-1,,0,
125,Male,22,Caucasian,6,5,3,(F3),0,,0,
126,Male,50,Other,1,2,0,(F3),1,(M2),0,
127,Male,25,African-American,10,10,14,(F2),1,(M1),1,(M1)
128,Female,44,Caucasian,1,1,0,,-1,,0,
129,Male,20,Other,5,8,0,(F3),1,(F2),1,(F2)
130,Male,22,African-American,9,10,2,(F3),1,(M1),0,
131,Male,23,African-American,7,8,2,(M2),1,(M2),0,
132,Male,54,African-American,6,5,6,(F1),0,,0,
133,Male,40,Caucasian,5,4,4,(F3),0,,0,
134,Male,25,African-American,7,6,10,(F2),0,,0,
135,Female,35,African-American,2,1,1,(M2),0,,0,
136,Male,36,African-American,7,6,9,(F2),1,(M1),0,
137,Male,26,Caucasian,8,4,7,(F3),1,(M1),0,
138,Male,21,Other,6,6,1,(F3),1,(M1),0,
139,Female,28,African-American,3,3,0,,-1,,0,
140,Male,30,Caucasian,5,4,6,(F3),0,,0,
141,Male,25,Caucasian,8,9,9,(F3),1,(M2),1,(M1)
142,Male,71,African-American,7,3,12,(M1),0,,0,
143,Male,34,African-American,3,2,3,(M1),0,,0,
144,Female,20,Caucasian,7,8,0,(F3),0,,0,
145,Male,39,Caucasian,1,1,2,(F3),1,(F3),0,
146,Male,66,Caucasian,1,1,3,(F2),0,,0,
147,Female,54,Caucasian,1,1,0,(M1),0,,0,
148,Male,28,African-American,4,5,0,,-1,,0,
149,Female,44,Hispanic,1,1,0,(M1),0,,0,
150,Male,19,African-American,4,7,1,(M2),1,(M1),1,(F3)
151,Male,24,African-American,2,3,1,(F2),0,,0,
152,Male,30,African-American,2,2,1,(F3),0,,0,
153,Female,39,Caucasian,1,1,0,(F3),1,(M1),1,(M1)
154,Female,32,African-American,3,1,8,(M1),0,,0,
155,Male,24,Caucasian,6,6,8,(F3),1,(F2),0,
156,Male,30,Caucasian,4,2,0,(F3),0,,0,
157,Male,31,Caucasian,5,2,0,(M1),0,,0,
158,Female,39,Caucasian,4,3,1,(F3),0,,0,
159,Male,59,African-American,9,4,14,(F3),1,(F3),1,(F3)
160,Male,35,Caucasian,6,3,7,(F3),0,,0,
161,Female,24,Other,3,4,0,(F2),0,,0,
162,Male,43,Caucasian,1,1,1,(F3),0,,0,
163,Male,21,African-American,9,6,2,(F3),0,,0,
164,Female,21,African-American,4,4,0,(M1),0,,0,
165,Male,21,African-American,9,6,3,(F3),1,(M1),0,
166,Male,27,African-American,7,3,0,(F3),0,,0,
167,Male,20,African-American,8,6,0,(F3),0,,0,
168,Male,38,Caucasian,4,3,5,(M1),1,(F3),0,
169,Male,27,African-American,9,4,3,(F3),0,,0,
170,Male,34,Caucasian,5,5,0,(F3),0,,0,
171,Male,30,African-American,3,3,3,(F3),0,,0,
172,Male,33,African-American,5,2,5,(F3),1,(M1),0,
173,Male,37,African-American,2,1,3,(F3),0,,0,
174,Male,42,Caucasian,2,2,1,(F3),1,(F3),0,
175,Male,41,African-American,9,7,10,(F3),1,(M1),0,
176,Male,22,African-American,4,7,0,(F3),1,(F3),0,
177,Male,33,African-American,8,5,28,(F3),1,(M2),0,
178,Male,44,Caucasian,1,1,0,(M2),0,,0,
179,Male,31,African-American,7,8,1,(M1),0,,0,
180,Male,26,African-American,8,7,9,(F3),0,,0,
181,Female,30,Other,2,2,1,(F3),0,,0,
182,Male,31,Caucasian,10,7,13,(F3),1,(F2),1,(M1)
183,Male,27,African-American,9,4,3,(F3),1,(F3),0,
184,Female,31,Caucasian,2,2,1,(F3),0,,0,
185,Male,47,Hispanic,1,1,2,(F3),0,,0,
186,Male,56,African-American,9,3,8,(F3),0,,0,
187,Male,33,Asian,8,8,2,(MO3),0,,0,
188,Male,52,Caucasian,9,6,3,(M1),0,,0,
189,Male,33,African-American,10,7,19,(F3),1,(M2),0,
190,Male,61,Caucasian,4,1,0,(F3),0,,0,
191,Female,64,Caucasian,1,1,2,(M1),0,,0,
192,Male,22,Caucasian,6,8,4,(F3),1,(M2),0,
193,Male,42,Caucasian,3,1,6,(F3),0,,0,
194,Female,25,Caucasian,4,5,2,(F3),0,,0,
195,Male,27,Caucasian,1,2,0,(F3),0,,0,
196,Male,30,Caucasian,2,2,1,(M2),0,,0,
197,Male,23,African-American,2,3,0,,-1,,0,
198,Male,28,Caucasian,1,2,2,(F3),0,,0,
199,Female,37,Other,2,1,2,(M2),0,,0,
200,Male,21,Caucasian,5,6,1,(F3),0,,0,
201,Male,28,Caucasian,2,3,0,(M2),1,(M1),0,
202,Female,24,African-American,2,3,0,(M1),0,,0,
203,Male,37,African-American,8,7,13,(F3),0,,0,
204,Male,22,African-American,9,8,0,(F2),0,,0,
205,Female,29,Caucasian,4,2,10,(F3),1,(F3),0,
206,Female,25,Caucasian,3,3,0,(F3),0,,0,
207,Male,44,Caucasian,2,1,2,(M1),1,(M1),0,
208,Female,30,Hispanic,5,5,4,(F3),1,(M1),1,(M1)
209,Male,32,African-American,7,3,3,(F3),1,(F3),0,
210,Male,53,Hispanic,4,1,1,(F3),0,,0,
211,Male,34,Other,2,1,1,(M1),0,,0,
212,Male,31,Caucasian,3,3,2,(M1),1,(M1),0,
213,Male,27,African-American,10,10,5,(F3),0,,0,
214,Male,31,African-American,2,3,1,(M2),1,(M2),0,
215,Male,59,Caucasian,2,1,1,(F3),1,(M2),0,
216,Male,28,African-American,10,8,15,(F2),0,,0,
217,Female,45,Caucasian,4,3,4,(F3),0,,0,
218,Male,23,Caucasian,3,3,0,(M1),0,,0,
219,Female,20,African-American,10,10,1,(F3),0,,0,
220,Male,42,African-American,1,1,2,(F2),0,,0,
221,Female,43,Caucasian,1,1,0,(M1),0,,0,
222,Male,38,African-American,8,4,9,(F3),1,(M1),0,
223,Male,32,African-American,6,5,11,(F3),1,(F3),1,(F1)
224,Male,33,African-American,5,2,8,(M2),1,(M1),1,(M1)
225,Male,55,African-American,8,3,4,(MO3),0,,0,
226,Female,31,African-American,3,2,0,(F3),1,(M2),0,
227,Female,33,African-American,9,9,7,(F3),1,(M2),0,
228,Male,27,African-American,9,8,2,(F3),1,(M1),0,
229,Male,52,African-American,1,1,0,(M2),0,,0,
230,Female,20,African-American,6,8,0,(F3),0,,0,
231,Female,26,Caucasian,6,3,0,(M2),0,,0,
232,Male,25,African-American,10,10,4,(M1),0,,0,
233,Female,61,African-American,1,1,1,(F3),1,(M2),0,
234,Male,52,Other,7,6,13,(F3),1,(M2),0,
235,Male,63,Hispanic,1,1,1,(F3),0,,0,
236,Male,40,Hispanic,2,1,0,,-1,,0,
237,Female,32,African-American,10,9,4,(F3),1,(F3),1,(F3)
238,Male,29,Hispanic,4,4,1,(F3),0,,0,
239,Female,46,Other,2,1,1,(F1),0,,0,
240,Female,26,African-American,4,4,2,(M1),1,(M2),0,
241,Male,55,African-American,1,1,3,(M1),0,,0,
242,Male,39,Caucasian,4,4,1,(X),0,,0,
243,Female,30,Caucasian,7,4,3,(F3),1,(F3),0,
244,Male,30,African-American,7,8,1,(F7),0,,0,
245,Male,48,Caucasian,2,1,2,(M1),0,,0,
246,Male,33,Caucasian,1,1,0,(M1),0,,0,
247,Male,22,African-American,2,4,1,(F3),0,,0,
248,Male,46,Caucasian,1,1,6,(F3),1,(M2),0,
249,Male,41,Caucasian,10,4,5,(F3),0,,0,
250,Female,49,Caucasian,6,2,6,(F3),0,,0,
251,Male,31,Caucasian,5,4,0,(F3),0,,0,
252,Male,31,African-American,1,2,0,(M1),0,,0,
253,Male,25,African-American,2,3,1,(M1),1,(M2),0,
254,Male,31,African-American,3,2,3,(F7),0,,0,
255,Female,21,African-American,6,6,0,(M1),0,,0,
256,Male,23,Hispanic,3,5,0,(F3),0,,0,
257,Female,32,African-American,7,3,5,(F3),0,,0,
258,Male,52,Hispanic,1,1,2,(M2),0,,0,
259,Male,62,African-American,4,1,8,(F3),0,,0,
260,Male,30,African-American,6,4,2,(M1),0,,0,
261,Female,37,Caucasian,10,4,6,(F3),0,,0,
262,Male,55,Caucasian,1,1,1,(F3),0,,0,
263,Male,31,Hispanic,9,7,8,(F3),1,(M1),0,
264,Male,28,African-American,6,6,6,(M1),1,(M2),1,(F2)
265,Male,54,Hispanic,1,1,2,(F2),0,,0,
266,Male,58,Hispanic,2,1,0,(F3),0,,0,
267,Male,78,Caucasian,1,1,1,(M1),1,(F3),0,
268,Male,56,Caucasian,1,1,0,(F3),0,,0,
269,Male,21,Hispanic,10,8,1,(M1),0,,0,
270,Male,24,Other,2,4,0,(F2),0,,0,
271,Male,38,African-American,8,5,22,(F3),1,(M1),0,
272,Male,39,African-American,5,1,3,(MO3),0,,0,
273,Male,35,Caucasian,1,1,0,(F3),0,,0,
274,Male,22,African-American,5,5,1,(F3),1,(M2),0,
275,Male,21,Hispanic,7,6,0,,-1,,0,
276,Male,47,African-American,8,1,23,(M1),1,(F3),0,
277,Male,23,African-American,2,4,0,(M1),1,(M1),0,
278,Male,57,Hispanic,1,1,1,(F3),0,,0,
279,Female,38,Caucasian,5,2,2,(F3),1,(M1),0,
280,Male,66,African-American,1,1,3,(F2),1,(M1),1,(M1)
281,Male,45,Caucasian,4,3,8,(M1),1,(M1),0,
282,Female,28,Caucasian,5,2,0,(M1),0,,0,
283,Male,45,Other,1,1,2,(F3),0,,0,
284,Female,52,Other,3,1,0,,1,(M2),0,
285,Male,32,African-American,10,7,13,(F2),1,(F3),0,
286,Male,37,African-American,9,8,2,(M1),1,(M1),1,(M1)
287,Male,39,Caucasian,4,4,0,(F3),1,(M1),0,
288,Male,26,African-American,9,8,9,(F2),1,(F3),0,
289,Male,25,African-American,8,8,3,(F3),0,,0,
290,Male,45,Caucasian,3,4,2,(F3),0,,0,
291,Female,57,Caucasian,9,1,7,(F3),0,,0,
292,Male,23,African-American,3,4,0,(F3),1,(F2),1,(F2)
293,Male,34,African-American,2,1,2,(M1),1,(F3),0,
294,Male,38,African-American,10,8,14,(F3),0,,0,
295,Female,36,African-American,3,4,0,,-1,,0,
296,Female,23,African-American,4,4,1,(M1),0,,0,
297,Male,36,Other,3,1,2,(M1),1,(F2),0,
298,Male,50,Caucasian,1,1,1,(F3),0,,0,
299,Female,37,Caucasian,3,1,0,(M2),0,,0,
300,Male,44,Caucasian,4,4,4,(M1),0,,0,
301,Female,35,African-American,9,9,23,(F3),1,(F3),0,
302,Male,31,Caucasian,1,1,1,(F1),0,,0,
303,Male,24,Other,5,4,5,(F3),1,(F3),0,
304,Male,40,Asian,1,1,3,(F1),0,,0,
305,Male,26,African-American,10,8,2,(F3),1,(F3),0,
306,Male,37,Other,6,2,1,(F3),0,,0,
307,Male,27,African-American,2,3,0,(M1),0,,0,
308,Female,31,Caucasian,3,2,1,(M1),0,,0,
309,Female,28,African-American,8,6,0,(F2),0,,0,
310,Male,43,Caucasian,5,3,11,(F3),1,(M1),1,(M1)
311,Male,42,African-American,5,6,0,,-1,,0,
312,Female,28,Caucasian,9,6,7,(F3),1,(F3),0,
313,Male,38,African-American,1,1,0,(F3),0,,0,
314,Male,38,African-American,1,1,2,(F3),0,,0,
315,Male,27,Caucasian,4,3,2,(M2),0,,0,
316,Female,28,African-American,9,7,1,(F1),0,,0,
317,Male,21,African-American,7,8,1,(F3),0,,0,
318,Male,56,Caucasian,1,1,7,(F3),1,(M2),0,
319,Male,38,African-American,9,3,15,(F3),0,,0,
320,Male,28,African-American,5,4,2,(M1),0,,0,
321,Male,45,African-American,6,4,3,(F3),0,,0,
322,Male,28,Hispanic,2,3,0,(M1),0,,0,
323,Female,24,Other,2,2,1,(F3),0,,0,
324,Male,61,Caucasian,1,1,1,(F3),0,,0,
325,Female,51,Caucasian,1,1,0,(M1),1,(M1),1,(M1)
326,Male,51,Caucasian,2,2,0,(M1),0,,0,
327,Male,20,Caucasian,4,7,0,(F3),0,,0,
328,Male,36,Other,1,1,1,(M1),1,(M2),0,
329,Male,48,African-American,1,1,0,(F3),0,,0,
330,Male,37,Caucasian,3,4,4,(F3),1,(M2),0,
331,Female,30,African-American,7,4,2,(F3),0,,0,
332,Female,41,African-American,6,3,5,(M1),0,,0,
333,Male,27,African-American,10,9,11,(F2),1,(F3),0,
334,Male,37,African-American,1,1,0,(M1),1,(M1),1,(M1)
335,Male,33,Other,4,2,4,(F3),1,(M1),0,
336,Male,54,African-American,9,9,11,(F3),0,,0,
337,Male,23,African-American,9,5,2,(F1),0,,0,
338,Male,22,African-American,6,5,0,(F3),0,,0,
339,Male,68,Caucasian,1,2,0,,-1,,0,
340,Female,26,African-American,4,6,2,(F7),1,(M2),0,
341,Female,23,African-American,6,6,3,(F3),0,,0,
342,Female,32,African-American,3,1,0,,-1,,0,
343,Male,41,African-American,1,1,0,(M1),0,,0,
344,Male,52,Caucasian,1,1,0,(F3),0,,0,
345,Male,23,African-American,10,6,0,,-1,,0,
346,Male,43,Caucasian,4,1,13,(F3),1,(F3),0,
347,Male,52,African-American,4,3,0,(F3),0,,0,
348,Male,28,Caucasian,1,2,1,(F3),0,,0,
349,Male,30,African-American,9,4,11,(M1),1,(M1),1,(F1)
350,Male,28,Caucasian,5,3,1,(F3),0,,0,
351,Male,47,Caucasian,2,3,1,(F2),0,,0,
352,Female,34,African-American,2,1,0,(M1),0,,0,
353,Male,22,African-American,4,6,0,(F3),0,,0,
354,Male,30,African-American,2,2,4,(F3),0,,0,
355,Male,25,Hispanic,4,4,4,(F3),0,,0,
356,Male,31,Caucasian,8,5,0,(F2),1,(F2),0,
357,Male,37,Caucasian,2,1,0,(F3),1,(M1),0,
358,Male,32,African-American,9,8,14,(F2),0,,0,
359,Male,26,African-American,8,6,4,(M1),0,,0,
360,Male,53,Caucasian,1,1,1,(M1),0,,0,
361,Male,28,African-American,8,9,25,(F3),1,(F3),0,
362,Male,44,Caucasian,5,3,8,(M1),1,(M1),0,
363,Male,25,African-American,3,4,0,(F3),0,,0,
364,Female,30,Other,1,1,0,(M1),0,,0,
365,Male,22,Caucasian,8,7,1,(M1),1,(F3),0,
366,Female,30,African-American,8,8,2,(F2),0,,0,
367,Female,20,African-American,5,6,0,(F3),0,,0,
368,Female,37,Other,1,1,0,(M1),0,,0,
369,Female,33,Caucasian,2,1,0,(F3),0,,0,
370,Female,47,Caucasian,5,1,2,(F2),0,,0,
371,Female,40,Other,2,1,3,(F3),0,,0,
372,Male,24,Other,2,3,0,(M1),0,,0,
373,Male,36,Caucasian,7,9,8,(F3),1,(M1),1,(M1)
374,Male,30,Caucasian,2,2,4,(F3),0,,0,
375,Male,22,African-American,9,9,3,(M2),1,(M2),1,(M1)
376,Female,24,Caucasian,7,5,1,(M1),1,(M1),1,(M1)
377,Male,27,African-American,2,3,3,(M1),1,(F3),0,
378,Female,31,Hispanic,2,2,0,(M1),0,,0,
379,Male,47,African-American,1,2,0,(M1),0,,0,
380,Male,23,Hispanic,6,4,1,(F3),1,(F3),0,
381,Female,23,Caucasian,5,7,5,(F2),1,(M1),0,
382,Male,24,Hispanic,8,7,0,(M1),0,,0,
383,Male,29,African-American,3,3,1,(M1),0,,0,
384,Male,20,African-American,8,7,1,(F3),1,(F3),1,(F3)
385,Male,30,African-American,6,5,2,(F3),1,(F2),0,
386,Male,39,Caucasian,2,1,1,(M1),0,,0,
387,Male,38,African-American,4,2,1,(M1),0,,0,
388,Male,39,Other,1,1,0,(F2),0,,0,
389,Male,27,African-American,4,4,4,(F3),0,,0,
390,Male,18,African-American,10,10,2,(F7),0,,0,
391,Male,31,Caucasian,4,3,2,(M1),1,(F3),0,
392,Female,37,African-American,1,1,2,(F3),0,,0,
393,Male,31,Caucasian,2,3,0,(F3),0,,0,
394,Male,27,African-American,8,5,2,(F3),0,,0,
395,Male,20,African-American,8,6,0,(F3),0,,0,
396,Male,46,African-American,8,6,5,(M1),0,,0,
397,Male,22,Hispanic,7,6,0,(F3),0,,0,
398,Female,52,African-American,1,1,0,(F3),0,,0,
399,Female,23,African-American,4,4,0,(F3),1,(M2),0,
400,Male,20,African-American,7,10,1,(F2),0,,0,
401,Female,48,African-American,2,3,0,(F3),0,,0,
402,Male,66,African-American,6,1,8,(F2),1,(M2),0,
403,Male,25,Caucasian,5,4,0,(F3),0,,0,
404,Male,27,Caucasian,6,7,0,(F3),1,(F3),1,(F3)
405,Male,30,African-American,7,6,11,(F3),1,(M1),0,
406,Male,22,African-American,10,7,3,(M1),1,(M1),0,
407,Female,22,Caucasian,3,4,1,(F3),0,,0,
408,Male,35,African-American,10,8,2,(F3),0,,0,
409,Male,32,Caucasian,4,4,2,(F3),0,,0,
410,Female,41,African-American,3,1,2,(M1),0,,0,
411,Male,35,Caucasian,8,8,9,(F3),0,,0,
412,Male,43,African-American,1,1,0,(F2),0,,0,
413,Female,25,Other,2,3,0,(F3),0,,0,
414,Male,44,African-American,7,3,24,(M1),0,,0,
415,Male,52,African-American,6,2,3,(F3),1,(F3),0,
416,Male,43,African-American,1,1,0,(F3),0,,0,
417,Male,37,African-American,1,1,0,(M1),0,,0,
418,Female,24,Caucasian,3,3,0,,-1,,0,
419,Male,47,Other,1,1,1,(M1),0,,0,
420,Female,45,Caucasian,1,1,3,(F3),0,,0,
421,Male,23,African-American,4,4,2,(F3),0,,0,
422,Male,37,Caucasian,1,1,3,(F3),0,,0,
423,Male,28,African-American,4,3,3,(M1),1,(F2),1,(F2)
424,Male,70,Caucasian,1,1,1,(M1),0,,0,
425,Male,54,Caucasian,2,1,6,(F3),1,(F3),0,
426,Male,58,Caucasian,7,2,9,(M1),0,,0,
427,Male,46,Caucasian,4,2,3,(F3),0,,0,
428,Male,21,African-American,9,7,0,(M2),1,(M2),0,
429,Male,26,African-American,8,6,1,(M1),1,(F3),1,(F3)
430,Male,38,Hispanic,1,1,3,(F3),1,(F3),0,
431,Male,34,Caucasian,4,4,5,(M1),0,,0,
432,Female,34,Caucasian,8,4,0,(F3),0,,0,
433,Male,19,African-American,5,7,1,(F3),1,(M1),0,
434,Male,34,African-American,4,4,5,(M2),0,,0,
435,Female,32,African-American,4,3,3,(M1),0,,0,
436,Male,23,Caucasian,5,5,0,(F3),1,(M2),0,
437,Male,34,African-American,4,2,5,(F3),1,(M1),0,
438,Male,30,African-American,1,2,2,(F2),0,,0,
439,Male,39,African-American,3,1,6,(F2),1,(M2),0,
440,Male,24,Other,3,5,0,(F3),0,,0,
441,Male,33,Caucasian,3,2,1,(M1),1,(F3),1,(F3)
442,Male,33,Caucasian,2,1,0,(F3),0,,0,
443,Male,40,Caucasian,4,2,6,(M1),0,,0,
444,Male,58,Caucasian,3,1,2,(F2),0,,0,
445,Female,21,African-American,6,7,0,(M1),0,,0,
446,Male,44,Asian,2,1,2,(F2),0,,0,
447,Male,56,African-American,8,3,13,(F3),0,,0,
448,Male,27,Caucasian,5,3,1,(F3),0,,0,
449,Male,21,African-American,5,7,1,(F3),1,(F2),0,
450,Male,23,African-American,8,5,4,(M1),1,(M1),0,
451,Male,62,Caucasian,1,1,0,(F3),0,,0,
452,Male,62,Caucasian,1,1,0,,-1,,0,
453,Male,27,African-American,8,10,4,(M1),1,(F3),0,
454,Male,57,Other,1,1,6,(M1),0,,0,
455,Male,37,Caucasian,3,1,5,(F3),0,,0,
456,Male,43,Other,2,1,2,(F3),1,(F3),0,
457,Male,22,Caucasian,3,4,0,,-1,,0,
458,Female,32,African-American,1,1,5,(F2),0,,0,
459,Female,33,African-American,3,2,2,(F3),0,,0,
460,Male,23,Hispanic,3,5,0,(F3),0,,0,
461,Male,27,African-American,1,2,0,(M1),0,,0,
462,Male,44,Caucasian,1,1,0,(M1),1,(F3),0,
463,Male,28,Caucasian,3,3,3,(M1),1,(M2),0,
464,Female,42,Caucasian,2,1,0,(F3),0,,0,
465,Male,48,African-American,5,3,5,(F3),0,,0,
466,Male,24,Other,10,10,9,(F3),1,(M1),1,(M2)
467,Male,27,African-American,2,3,0,(F2),0,,0,
468,Male,20,African-American,10,9,0,(F3),1,(M2),0,
469,Male,39,African-American,9,2,0,,-1,,0,
470,Male,24,African-American,8,8,1,(F3),0,,0,
471,Male,31,Caucasian,10,9,6,(F3),0,,0,
472,Male,22,African-American,5,7,2,(F1),0,,0,
473,Female,51,Caucasian,1,1,0,(M1),0,,0,
474,Male,56,Caucasian,1,1,0,(M1),0,,0,
475,Male,20,Caucasian,6,5,0,(M1),0,,0,
476,Male,54,African-American,3,2,1,(F3),0,,0,
